Model,Condition,Accuracy,Precision,Recall,F1,ASR
LogisticRegression,Clean,0.9229346485819976,0.19093851132686085,1.0,0.32065217391304346,N/A
MLP,Clean,0.967940813810111,0.3333333333333333,0.7627118644067796,0.4639175257731959,N/A
LogisticRegression,Backdoored,0.9796547472256474,0.46846846846846846,0.8813559322033898,0.611764705882353,0.19589438854750488
MLP,Backdoored,0.9852034525277436,1.0,0.1864406779661017,0.3142857142857143,0.8185562833412131
